slug,product_name,category,customer_pdf_count,internal_file_count,spreadsheet_count,total_customer_pages,prompt_count,template_count_estimate,spreadsheet_files
accountants-and-cpas,Accountants & CPAs Growth Bundle,Professional Services,8,0,0,49,10,56,
aestheticians,Aestheticians Growth Bundle,Beauty,8,0,0,53,6,94,
attorneys,Attorneys Growth Bundle,Professional Services,8,0,0,42,5,31,
barbers,Barbers Growth Bundle,Beauty,8,0,0,65,4,61,
bridal-hair-and-makeup-artists,Bridal Hair & Makeup Artists Growth Bundle,Beauty,8,0,0,52,11,82,
broker-toolkit,Broker Toolkit Growth Bundle,Professional Services,0,0,2,0,0,0,04_Client_Renewal_Tracker.xlsx; 05_Benefits_Cost_Calculator.xlsx
car-wash-businesses,Car Wash Businesses Growth Bundle,Home Services,8,0,1,45,11,50,05_Membership_Campaign_Planner_Car_Wash.xlsx
chiropractors,Chiropractors Growth Bundle,Health & Wellness,8,0,0,44,5,41,
dentists,Dentists Growth Bundle,Health & Wellness,8,0,0,46,5,58,
dog-walkers-and-pet-sitters,Dog Walkers & Pet Sitters Growth Bundle,Local Services,8,1,0,70,10,61,
electricians,Electricians Growth Bundle,Home Services,8,0,0,49,11,61,
etsy-sellers,Etsy Sellers Growth Bundle,E-Commerce,8,0,1,77,10,83,05_SEO_Listing_Tracker_Etsy_Sellers.xlsx
event-planners,Event Planners Growth Bundle,Creatives & Events,8,0,0,42,0,39,
financial-advisors,Financial Advisors Growth Bundle,Professional Services,8,0,0,44,5,35,
florists,Florists Growth Bundle,Creatives & Events,8,0,0,49,4,60,
hair-stylists,Hair Stylists Growth Bundle,Beauty,9,2,2,110,57,252,Hairstylist_Profit_Calculator.xlsx; Salon_Systems__Product_4__Client_Retention_Tracker.xlsx
hvac-contractors,HVAC Contractors Growth Bundle,Home Services,8,0,0,43,5,44,
insurance-agents,Insurance Agents Growth Bundle,Professional Services,8,0,0,41,10,38,
interior-designers,Interior Designers Growth Bundle,Creatives & Events,8,0,0,53,6,67,
lash-technicians,Lash Technicians Growth Bundle,Beauty,8,0,0,50,9,85,
life-and-business-coaches,Life & Business Coaches Growth Bundle,Coaches & Educators,8,1,0,76,10,82,
makeup-artists,Makeup Artists Growth Bundle,Beauty,8,0,0,43,5,66,
massage-therapists,Massage Therapists Growth Bundle,Health & Wellness,8,0,0,38,5,39,
med-spas,Med Spas Growth Bundle,Beauty,8,0,0,45,5,69,
mortgage-brokers,Mortgage Brokers Growth Bundle,Professional Services,8,0,0,42,10,35,
nail-technicians,Nail Technicians Growth Bundle,Beauty,8,0,0,48,9,80,
nannies-and-childcare-professionals,Nannies & Childcare Professionals Growth Bundle,Local Services,7,1,0,59,10,49,
nutritionists,Nutritionists Growth Bundle,Health & Wellness,8,0,0,46,10,44,
party-planners,Party Planners Growth Bundle,Creatives & Events,8,0,1,48,4,54,05_Event_Tracker_Seasonal_Planner_Party_Planners.xlsx
personal-chefs,Personal Chefs Growth Bundle,Hospitality,6,2,0,55,0,64,
personal-stylists,Personal Stylists Growth Bundle,Personal Services,7,2,0,61,5,59,
personal-trainers,Personal Trainers Growth Bundle,Health & Wellness,8,0,0,67,5,75,
physical-therapists,Physical Therapists Growth Bundle,Health & Wellness,8,0,0,46,5,45,
plumbers,Plumbers Growth Bundle,Home Services,8,0,0,43,5,46,
public-speakers,Public Speakers Growth Bundle,Creatives & Events,8,0,0,50,2,55,
tattoo-artists,Tattoo Artists Growth Bundle,Creatives & Events,8,0,0,49,3,62,
videographers,Videographers Growth Bundle,Creatives & Events,9,0,0,53,52,137,
wedding-photographers,Wedding Photographers Growth Bundle,Creatives & Events,8,0,0,50,4,59,
