niche,path,filename,extension,type,pages,spreadsheet_sheets,spreadsheet_rows,spreadsheet_cols,notes
Accountants & CPAs,Accountants & CPAs/01_AI_Playbook_Accountants_CPAs.pdf,01_AI_Playbook_Accountants_CPAs.pdf,.pdf,ai playbook,13,,,,
Accountants & CPAs,Accountants & CPAs/02_90Day_Content_Calendar_Accountants_CPAs.pdf,02_90Day_Content_Calendar_Accountants_CPAs.pdf,.pdf,90-day calendar,8,,,,
Accountants & CPAs,Accountants & CPAs/03_Email_Templates_Accountants_CPAs.pdf,03_Email_Templates_Accountants_CPAs.pdf,.pdf,templates,17,,,,
Accountants & CPAs,Accountants & CPAs/04_Brand_Kit_Accountants_CPAs.pdf,04_Brand_Kit_Accountants_CPAs.pdf,.pdf,brand kit,7,,,,
Accountants & CPAs,Accountants & CPAs/05_Client_Onboarding_CPAs.pdf,05_Client_Onboarding_CPAs.pdf,.pdf,client system,7,,,,
Accountants & CPAs,Accountants & CPAs/Internal/Accountant_CPA_Bundle_Sales_Copy.md,Accountant_CPA_Bundle_Sales_Copy.md,.md,sales copy,,,,,
Accountants & CPAs,Accountants & CPAs/LM_Accountants_CPAs.pdf,LM_Accountants_CPAs.pdf,.pdf,lead magnet,2,,,,
Aestheticians,Aestheticians/01_AI_Playbook_Aestheticians.pdf,01_AI_Playbook_Aestheticians.pdf,.pdf,ai playbook,11,,,,
Aestheticians,Aestheticians/02_90Day_Content_Calendar_Aestheticians.pdf,02_90Day_Content_Calendar_Aestheticians.pdf,.pdf,90-day calendar,8,,,,
Aestheticians,Aestheticians/03_Email_Templates_Aestheticians.pdf,03_Email_Templates_Aestheticians.pdf,.pdf,templates,18,,,,
Aestheticians,Aestheticians/04_Brand_Kit_Aestheticians.pdf,04_Brand_Kit_Aestheticians.pdf,.pdf,brand kit,7,,,,
Aestheticians,Aestheticians/05_Client_Intake_Aestheticians.pdf,05_Client_Intake_Aestheticians.pdf,.pdf,client system,7,,,,
Aestheticians,Aestheticians/Aesthetician_Bundle_Sales_Copy.md,Aesthetician_Bundle_Sales_Copy.md,.md,sales copy,,,,,
Aestheticians,Aestheticians/LM_Aestheticians.pdf,LM_Aestheticians.pdf,.pdf,lead magnet,2,,,,
Attorneys,Attorneys/01_AI_Playbook_Attorneys.pdf,01_AI_Playbook_Attorneys.pdf,.pdf,ai playbook,10,,,,
Attorneys,Attorneys/02_90Day_Content_Calendar_Attorneys.pdf,02_90Day_Content_Calendar_Attorneys.pdf,.pdf,90-day calendar,8,,,,
Attorneys,Attorneys/03_Email_Templates_Attorneys.pdf,03_Email_Templates_Attorneys.pdf,.pdf,templates,8,,,,
Attorneys,Attorneys/04_Brand_Kit_Attorneys.pdf,04_Brand_Kit_Attorneys.pdf,.pdf,brand kit,5,,,,
Attorneys,Attorneys/05_Client_Intake_Attorneys.pdf,05_Client_Intake_Attorneys.pdf,.pdf,client system,6,,,,
Attorneys,Attorneys/Attorney_Bundle_Sales_Copy.md,Attorney_Bundle_Sales_Copy.md,.md,sales copy,,,,,
Attorneys,Attorneys/LM_Attorneys.pdf,LM_Attorneys.pdf,.pdf,lead magnet,2,,,,
Barbers,Barbers/01_AI_Playbook_Barbers.pdf,01_AI_Playbook_Barbers.pdf,.pdf,ai playbook,10,,,,
Barbers,Barbers/02_90Day_Content_Calendar_Barbers.pdf,02_90Day_Content_Calendar_Barbers.pdf,.pdf,90-day calendar,8,,,,
Barbers,Barbers/03_Communication_Templates_Barbers.pdf,03_Communication_Templates_Barbers.pdf,.pdf,templates,13,,,,
Barbers,Barbers/04_Brand_Kit_Barbers.pdf,04_Brand_Kit_Barbers.pdf,.pdf,brand kit,7,,,,
Barbers,Barbers/05_Client_Intake_Barbers.pdf,05_Client_Intake_Barbers.pdf,.pdf,client system,5,,,,
